scheme,model,subset,n,r,r2,rmse,mae,mb,nmb,slope,mean_obs
cluster,cams_linear,ghana_north(>8N),278,0.7241934387427302,-16.460433151777252,34.68768391811336,17.500230929692727,12.86194550698313,0.4447740907791613,3.290107235688935,28.917928839900267
cluster,cams_linear,ghana_south(<=8N),18117,0.7957291482260686,0.6237074830570223,4.505721423230581,3.164067043950228,-0.3086385693237794,-0.0170473654847315,0.5633065638919434,18.1047663699245
cluster,cams_linear,harmattan(DJF),7078,0.6470657754654178,-0.5804436366416945,18.011596428105463,8.295840304014312,-0.645964392841464,-0.0218752122487704,1.0648225762912515,29.529514296610884
cluster,cams_linear,non_harmattan,26019,0.6622907515172097,0.3487634337053965,6.076485770574911,3.7494139512160727,-0.0589788963829961,-0.0032849312698135,0.6371000795235892,17.954377592303313
cluster,paperlike_gbdt,all,33097,0.8039382057682537,0.635232179144089,6.3630135230874245,3.9660976404503208,-0.61847485951099,-0.0302731831468512,0.7165787387526795,20.42979281401794
cluster,paperlike_gbdt,ghana,18395,0.809476787695012,0.4798452960468288,5.393139748907961,3.194532853839249,0.5814460637718054,0.0318283458199111,0.9883810131868576,18.268183557565344
cluster,paperlike_gbdt,ghana_reference,155,0.8710354920507247,0.7389788572934072,5.564639828589481,4.1411615017488295,-1.432849197709395,-0.0666757959805622,0.8015320829962294,21.4897951593575
cluster,paperlike_gbdt,reference_all,791,0.7956724967851597,0.5945625016518779,16.606213663261027,9.82363220236771,-3.026995529873436,-0.0968435343571453,0.507134407495289,31.256557807053
cluster,paperlike_gbdt,ghana_north(>8N),278,0.8033240575292275,-0.0196835325211128,8.382633899514113,6.618931034518671,5.456190021749347,0.1886784510729214,1.0331058363815766,28.917928839900267
cluster,paperlike_gbdt,ghana_south(<=8N),18117,0.802645844149978,0.472599465820359,5.334231118949141,3.141986477826175,0.5066445612980097,0.027984043038503,0.9721318501845152,18.1047663699245
cluster,paperlike_gbdt,harmattan(DJF),7078,0.7658908721303153,0.5480618869288114,9.631683107485468,5.694421704200174,0.007935022640796,0.0002687149731313,0.7369194412845327,29.529514296610884
cluster,paperlike_gbdt,non_harmattan,26019,0.7412552841130039,0.5367415438809011,5.125010672284372,3.4959382291270007,-0.7888783779348474,-0.0439379406988201,0.5185249357408439,17.954377592303313
cluster,lgbm,all,33097,0.8571971537947615,0.7299706153558709,5.474697155426237,3.3853852581826382,-0.7195001242210458,-0.0352181801729951,0.7453694132952615,20.42979281401794
cluster,lgbm,ghana,18395,0.838051097733494,0.6490330145376874,4.430049119138511,2.666074648912205,-0.374073438108685,-0.0204767724678226,0.8912059692397993,18.268183557565344
cluster,lgbm,ghana_reference,155,0.8770010130965407,0.707161144473321,5.894046624618114,4.223380664777182,-2.532284623368207,-0.1178366105674837,0.6911033794053011,21.4897951593575
cluster,lgbm,reference_all,791,0.7957676415519634,0.6327068654038113,15.805748602967656,10.032338281923398,0.1878369660720833,0.0060095218172008,0.6156778582047145,31.256557807053
cluster,lgbm,ghana_north(>8N),278,0.8820466465804815,0.4368296611414289,6.2297078897226905,4.393098829894203,3.544412977056426,0.1225680095099317,1.129581217349751,28.917928839900267
cluster,lgbm,ghana_south(<=8N),18117,0.8316574497598725,0.641697028516715,4.396699164923399,2.639573974279926,-0.4342014517652451,-0.0239827149875039,0.8709194738636973,18.1047663699245
cluster,lgbm,harmattan(DJF),7078,0.8335307343021311,0.677925143521557,8.130946665882648,4.822810215972386,-1.0362560325782544,-0.0350922139175579,0.7846134528693249,29.529514296610884
cluster,lgbm,non_harmattan,26019,0.81098480481427,0.6447643797234535,4.487881177058773,2.994359705654261,-0.6333323883606238,-0.0352745387638567,0.5956284579850623,17.954377592303313
cluster,xgb_ratio,all,33097,0.806765148629187,0.5755079281738047,6.86419130167789,3.71797571169257,-0.3656574595621524,-0.0178982461002372,0.8705672581969721,20.42979281401794
cluster,xgb_ratio,ghana,18395,0.8116271690902953,0.5710337179243267,4.8976414436793165,2.914682238660826,-0.7312222943667689,-0.0400270936660229,0.8856214251919317,18.268183557565344
cluster,xgb_ratio,ghana_reference,155,0.8760664009930605,0.6304269212072056,6.621393231190809,4.622746365154558,-3.459079392216072,-0.1609638140598959,0.6007988242595119,21.4897951593575
