city,product,days,r,r2,rmse,mae,bias,mean_obs,period
Accra,"GH-PM25 (this work, leave-cluster-out)",517,0.9643392524147588,0.8985135333756847,2.5088182920305178,1.5335292237242308,0.7661931737203918,18.965281683552206,2024-08–2025-12
Accra,Anand et al. 2026 product,517,0.808041505860834,-0.07634150409314477,8.170341040715105,7.192710878380969,6.685782146235029,18.965281683552206,2024-08–2025-12
Accra,CAMS raw,517,0.8347830156975394,-0.19667879846821879,8.614973377738657,7.575332912500221,-6.787129760606846,18.965281683552206,2024-08–2025-12
Kumasi,"GH-PM25 (this work, leave-cluster-out)",72,0.8168338803063135,0.6536863250999443,5.150768384101665,4.096112503485044,0.27360656748073403,22.75129390919422,2025-09–2025-12
Kumasi,Anand et al. 2026 product,72,0.5174446646491054,-0.8251264646031844,11.824524408038556,9.317717911354812,7.940372757472446,22.75129390919422,2025-09–2025-12
Kumasi,CAMS raw,72,0.5640016105036957,-1.1243076097099345,12.756922092537437,10.50802105166066,-10.50802105166066,22.75129390919422,2025-09–2025-12
Tema,"GH-PM25 (this work, leave-cluster-out)",412,0.9283900065701198,0.7429224253091682,4.172840931288278,3.182899663928135,0.4752512277197736,20.31669901058254,2024-08–2025-12
Tema,Anand et al. 2026 product,412,0.8121256022902372,0.1424689293298118,7.621222922476692,6.5268233150975945,5.800776717572802,20.31669901058254,2024-08–2025-12
Tema,CAMS raw,412,0.8156743703737067,-0.28094165193996656,9.314604224236193,8.07685966366622,-6.958827038341091,20.31669901058254,2024-08–2025-12
Koforidua,"GH-PM25 (this work, leave-cluster-out)",45,0.9496375899084831,-2.30003218973723,6.69806771624832,6.5237094395308555,6.5237094395308555,19.73547852843722,2025-11–2025-12
Koforidua,Anand et al. 2026 product,45,0.33584102811044814,-23.074980550740733,18.09145175000179,17.100077027118335,17.100077027118335,19.73547852843722,2025-11–2025-12
Koforidua,CAMS raw,45,0.5170589726102794,-2.8944627299129935,7.276360737320878,6.62962303840519,-6.524469693598354,19.73547852843722,2025-11–2025-12
Somanya,"GH-PM25 (this work, leave-cluster-out)",37,0.5296494041586722,-8.724798696005196,9.8341526281344,9.358669601108389,9.358669601108389,9.293575095264217,2024-08–2024-10
Somanya,Anand et al. 2026 product,37,0.19464686654442626,-15.217198691895447,12.699439490259614,12.219938418249297,12.219938418249297,9.293575095264217,2024-08–2024-10
Somanya,CAMS raw,37,0.19224035598813333,-0.27279798920706266,3.557757759554242,2.5445249741556406,-1.3357553241419278,9.293575095264217,2024-08–2024-10
