site,month,n,obs,cams,ratio
emb_lome,1,31.0,56.47701666029157,28.708240509033203,0.5142401542924993
emb_lome,2,28.0,32.31918054771316,20.964860916137695,0.6156090432132367
emb_lome,3,3.0,21.656944444444445,18.93754768371582,0.956558456257528
emb_lome,11,1.0,86.42083333333333,40.12928009033203,0.4643472938469547
emb_lome,12,31.0,76.01737308974336,45.979278564453125,0.5912959763368898
emb_ouagadougou,1,22.0,38.99518297743099,41.967018127441406,1.1504740057455116
emb_ouagadougou,2,15.0,54.766473429951695,57.28272247314453,1.0150925627241725
emb_ouagadougou,3,11.0,43.16447478739968,33.55379104614258,0.732273965576716
emb_ouagadougou,8,9.0,7.447685185185185,6.467818260192871,0.9755292875675861
oaq_220715,1,24.0,72.99408511840177,81.79297637939453,1.235394630875167
oaq_220715,2,28.0,70.87113095238095,81.42992401123047,1.0558300116967467
oaq_220715,3,3.0,70.10362318840579,83.69139862060547,1.2001859067129534
oaq_220715,8,31.0,21.001731799056486,15.94162368774414,0.761898026266932
oaq_220715,9,15.0,22.44301587301587,16.260122299194336,0.7408980509242771
oaq_220715,10,18.0,19.624883109040717,24.263132095336914,1.235831054667981
oaq_220715,11,20.0,44.89808066361556,47.72907638549805,1.0202704848722504
oaq_220715,12,19.0,48.1017439844671,75.5488510131836,1.8148219810146937
oaq_404479,1,13.0,35.91858974358974,50.22642517089844,1.3082010085796272
oaq_404479,2,11.0,1.376152832674572,31.056119918823242,21.647693980823863
oaq_404479,8,30.0,11.129027777777777,13.212420463562012,1.2462588720169194
oaq_404479,9,29.0,11.263649425287356,12.817151069641113,1.1384230872992178
oaq_404479,10,31.0,13.38171671129245,16.204320907592773,1.2278088401345646
oaq_404479,11,4.0,20.753713768115944,18.20145034790039,0.9212241362135485
oaq_9762,1,28.0,34.158787445392136,19.46590805053711,0.5583083111175845
oaq_9762,2,26.0,30.445881280237685,17.740726470947266,0.5989256380599495
oaq_9762,3,28.0,19.20334700552088,8.703230857849121,0.44872058685984717
oaq_9762,4,30.0,13.486574440052701,7.86414909362793,0.5901887047667806
oaq_9762,9,16.0,8.732551877470355,9.11810302734375,1.015746351110284
oaq_9762,10,23.0,11.688000591770193,7.7675275802612305,0.7123089041761173
oaq_9762,11,27.0,22.94184708008335,13.5584716796875,0.5928406096463665
oaq_9762,12,31.0,49.99947721688513,26.86490249633789,0.5823542051087612
oaq_9764,1,35.0,34.621635610766056,21.200424194335938,0.6184710023031069
oaq_9764,2,30.0,26.997765700483097,17.013853073120117,0.6919862879508936
oaq_9764,3,2.0,22.0625,16.848316192626953,0.7645416519992188
oaq_9764,5,1.0,2.2,11.98718547821045,5.44872067191384
oaq_9764,8,31.0,16.011866641081486,9.395870208740234,0.5607370590781146
oaq_9764,9,27.0,13.751347191298173,7.308484077453613,0.5727733698758212
oaq_9764,10,23.0,12.04309943889339,7.273521900177002,0.5910867544320914
oaq_9764,11,6.0,19.70958419599724,11.714141845703125,0.5813744004662926
